inc_group	n_training	is_incx_like	level	level_name	uniform_threshold	adaptive_threshold	pct_difference	abs_pct_difference
IncHI2	36	False	E	L5 (Clone)	0.01	0.001132	-88.7	88.7
IncHI2	36	False	F	L6 (Strain)	0.001	0.0005	-50.0	50.0
IncI	11	False	A	L1 (Family)	0.15	0.088538	-41.0	41.0
IncI	11	False	B	L2 (Subfamily)	0.1	0.062802	-37.2	37.2
IncI	11	False	C	L3 (Cluster)	0.05	0.020386	-59.2	59.2
IncI	11	False	D	L4 (Subcluster)	0.02	0.009489	-52.6	52.6
IncI	11	False	E	L5 (Clone)	0.01	0.004165	-58.4	58.4
IncI	11	False	F	L6 (Strain)	0.001	0.001516	51.6	51.6
IncI1	27	False	A	L1 (Family)	0.15	0.209875	39.9	39.9
IncI1	27	False	B	L2 (Subfamily)	0.1	0.196293	96.3	96.3
IncI1	27	False	C	L3 (Cluster)	0.05	0.017109	-65.8	65.8
IncI1	27	False	D	L4 (Subcluster)	0.02	0.006914	-65.4	65.4
IncI1	27	False	E	L5 (Clone)	0.01	0.001228	-87.7	87.7
IncI1	27	False	F	L6 (Strain)	0.001	0.0005	-50.0	50.0
IncI2	25	False	A	L1 (Family)	0.15	0.05551	-63.0	63.0
IncI2	25	False	B	L2 (Subfamily)	0.1	0.050575	-49.4	49.4
IncI2	25	False	C	L3 (Cluster)	0.05	0.023794	-52.4	52.4
IncI2	25	False	D	L4 (Subcluster)	0.02	0.001029	-94.9	94.9
IncI2	25	False	E	L5 (Clone)	0.01	0.000768	-92.3	92.3
IncI2	25	False	F	L6 (Strain)	0.001	0.0005	-50.0	50.0
IncN	1097	False	A	L1 (Family)	0.15	0.069994	-53.3	53.3
IncN	1097	False	B	L2 (Subfamily)	0.1	0.045516	-54.5	54.5
IncN	1097	False	C	L3 (Cluster)	0.05	0.024909	-50.2	50.2
IncN	1097	False	D	L4 (Subcluster)	0.02	0.012845	-35.8	35.8
IncN	1097	False	E	L5 (Clone)	0.01	0.008091	-19.1	19.1
IncN	1097	False	F	L6 (Strain)	0.001	0.002922	192.2	192.2
IncR	21	False	A	L1 (Family)	0.15	0.029216	-80.5	80.5
IncR	21	False	B	L2 (Subfamily)	0.1	0.02398	-76.0	76.0
IncR	21	False	C	L3 (Cluster)	0.05	0.016203	-67.6	67.6
IncR	21	False	D	L4 (Subcluster)	0.02	0.010278	-48.6	48.6
IncR	21	False	E	L5 (Clone)	0.01	0.007213	-27.9	27.9
IncR	21	False	F	L6 (Strain)	0.001	0.004272	327.2	327.2
IncX1	705	True	A	L1 (Family)	0.15	0.126559	-15.6	15.6
IncX1	705	True	B	L2 (Subfamily)	0.1	0.100304	0.3	0.3
IncX1	705	True	C	L3 (Cluster)	0.05	0.056941	13.9	13.9
IncX1	705	True	D	L4 (Subcluster)	0.02	0.033391	67.0	67.0
IncX1	705	True	E	L5 (Clone)	0.01	0.018216	82.2	82.2
IncX1	705	True	F	L6 (Strain)	0.001	0.006079	507.9	507.9
IncX3	56	True	A	L1 (Family)	0.15	0.055166	-63.2	63.2
IncX3	56	True	B	L2 (Subfamily)	0.1	0.044595	-55.4	55.4
IncX3	56	True	C	L3 (Cluster)	0.05	0.03771	-24.6	24.6
IncX3	56	True	D	L4 (Subcluster)	0.02	0.010208	-49.0	49.0
IncX3	56	True	E	L5 (Clone)	0.01	0.003008	-69.9	69.9
IncX3	56	True	F	L6 (Strain)	0.001	0.0005	-50.0	50.0
IncX4	24	True	A	L1 (Family)	0.15	0.063823	-57.5	57.5
IncX4	24	True	B	L2 (Subfamily)	0.1	0.061115	-38.9	38.9
IncX4	24	True	C	L3 (Cluster)	0.05	0.057245	14.5	14.5
IncX4	24	True	D	L4 (Subcluster)	0.02	0.052587	162.9	162.9
IncX4	24	True	E	L5 (Clone)	0.01	0.002451	-75.5	75.5
IncX4	24	True	F	L6 (Strain)	0.001	0.0005	-50.0	50.0
repAci1	120	False	A	L1 (Family)	0.15	0.100503	-33.0	33.0
repAci1	120	False	B	L2 (Subfamily)	0.1	0.080362	-19.6	19.6
