is_incx_like	level	mean	median	max	count
False	A	70.62	56.1	296.7	25
False	B	68.148	54.5	298.4	25
False	C	59.523999999999994	58.7	120.2	25
False	D	84.73200000000001	65.4	266.5	25
False	E	93.148	70.9	391.9	25
False	F	237.208	51.6	1689.8	25
True	A	45.43333333333334	57.5	63.2	3
True	B	31.53333333333333	38.9	55.4	3
True	C	17.666666666666668	14.5	24.6	3
True	D	92.96666666666665	67.0	162.9	3
True	E	75.86666666666667	75.5	82.2	3
True	F	202.63333333333333	50.0	507.9	3
