pLIN	n_plasmids	mean_amr	total_amr	inc_types
1.1.2.4.7.1532	4	1.75	7	IncFII
1.1.2.4.7.1299	4	1.0	4	IncFII
1.1.2.4.7.2400	4	2.0	8	IncX1
1.1.2.4.7.1542	4	6.25	25	IncFII
1.1.2.4.7.1317	4	14.0	56	IncFII
1.1.2.4.7.355	4	1.0	4	IncX4
1.1.2.4.7.2187	4	14.75	59	IncX1
1.1.2.4.7.1604	4	7.0	28	IncFII
1.1.2.4.7.1152	4	1.0	4	IncFII
1.1.2.4.7.1205	4	5.75	23	IncX1
1.1.2.4.7.116	4	2.0	8	IncX3
1.1.2.4.7.1832	4	4.0	16	IncFII
1.1.2.4.7.1898	4	2.5	10	IncFII
1.1.2.4.7.1658	4	6.0	24	IncX1
1.1.2.4.7.2232	4	3.5	14	IncFII
1.1.2.4.7.867	4	2.0	8	IncFII
1.1.2.4.7.1870	4	2.75	11	IncN
1.1.2.4.7.2837	4	3.75	15	IncFII
1.1.2.4.7.1115	4	1.75	7	IncFII
1.1.2.4.7.1745	4	6.5	26	IncFII
1.1.2.4.7.1734	4	3.0	12	IncFII
1.1.2.4.7.1093	4	1.0	4	IncX1
1.1.2.4.7.1839	4	13.5	54	IncFII
1.1.2.4.7.1885	4	9.0	36	IncN
1.1.2.4.7.1026	4	10.25	41	IncFII
1.1.2.4.7.179	4	10.25	41	IncAC2, IncC, IncFII
1.1.2.4.7.1932	3	12.333333333333334	37	IncX1
1.1.2.4.7.148	3	3.0	9	IncFII, IncR
1.1.2.4.7.1951	3	8.666666666666666	26	IncFII
1.1.2.4.7.1207	3	6.0	18	IncFII
1.1.2.4.7.353	3	1.0	3	IncX4
1.1.2.4.7.608	3	1.0	3	IncFII
1.1.2.4.7.1328	3	5.333333333333333	16	IncFII
1.1.2.4.7.2738	3	5.0	15	IncFII
1.1.2.4.34.183	3	1.0	3	IncF, IncFIB
1.1.2.4.7.2165	3	3.3333333333333335	10	IncFII
1.1.2.4.7.1418	3	3.0	9	IncN
1.1.2.4.7.260	3	10.0	30	IncAC2
1.1.2.4.7.2308	3	5.0	15	IncFII
1.1.2.4.7.1819	3	1.0	3	IncFII
1.1.2.4.7.954	3	3.0	9	IncN
1.1.2.4.7.2266	3	4.666666666666667	14	IncFII
1.1.2.4.7.1516	3	12.666666666666666	38	IncX1
1.1.2.4.7.2053	3	4.0	12	IncX1
1.1.2.4.7.2055	3	2.6666666666666665	8	IncN
1.1.2.4.7.2943	3	17.0	51	IncX1
1.1.2.4.7.1534	3	2.0	6	IncN
1.1.2.4.7.2633	3	2.3333333333333335	7	IncN
1.1.2.4.7.1172	3	5.0	15	IncFII
1.1.2.4.7.1639	3	6.666666666666667	20	IncFII
