pLIN	n_plasmids	mean_amr	total_amr	inc_types
1.1.2.4.7.2606	1	11.0	11	IncN
1.1.2.4.7.2392	1	6.0	6	IncFII
1.1.2.4.7.2607	1	9.0	9	IncN
1.1.2.4.7.2608	1	2.0	2	IncN
1.1.2.4.7.2609	1	6.0	6	IncFII
1.1.2.4.7.2391	1	8.0	8	IncX1
1.1.2.4.7.2610	1	2.0	2	IncFII
1.1.2.4.7.2619	1	4.0	4	IncN
1.1.2.4.7.2388	1	13.0	13	IncX1
1.1.2.4.7.2611	1	15.0	15	IncFII
1.1.2.4.7.2612	1	8.0	8	IncFII
1.1.2.4.7.2613	1	1.0	1	IncN
1.1.2.4.7.2614	1	1.0	1	IncN
1.1.2.4.7.2387	1	4.0	4	IncX1
1.1.2.4.7.2386	1	2.0	2	IncX1
1.1.2.4.7.2615	1	5.0	5	IncFII
1.1.2.4.7.2616	1	3.0	3	IncX1
1.1.2.4.7.2383	1	1.0	1	IncN
1.1.2.4.7.2618	1	5.0	5	IncX1
1.1.2.4.7.2627	1	2.0	2	IncN
1.1.2.25.45.156	1	1.0	1	ColRNAI
1.1.2.4.7.2744	1	6.0	6	IncFII
1.1.2.4.7.316	1	3.0	3	IncX1
1.1.2.4.7.43	1	6.0	6	IncFIB
1.1.2.4.7.421	1	4.0	4	IncI
1.1.2.4.7.420	1	2.0	2	IncFIB
1.1.2.4.7.412	1	4.0	4	IncFIB
1.1.2.4.7.410	1	1.0	1	IncX3
1.1.2.4.7.407	1	11.0	11	IncR
1.1.2.4.7.405	1	5.0	5	IncC
1.1.2.4.7.403	1	2.0	2	IncC
1.1.2.4.7.37	1	4.0	4	IncA
1.1.2.4.7.352	1	1.0	1	IncX4
1.1.2.4.7.346	1	1.0	1	IncFIB
1.1.2.4.7.345	1	10.0	10	IncR
1.1.2.4.7.331	1	9.0	9	IncR
1.1.2.4.7.327	1	2.0	2	IncFIB
1.1.2.4.7.321	1	4.0	4	IncR
1.1.2.4.7.44	1	2.0	2	IncFIB
1.1.2.4.7.442	1	8.0	8	IncR
1.1.2.4.7.452	1	1.0	1	IncI
1.1.2.4.7.518	1	17.0	17	IncR
1.1.2.4.7.602	1	7.0	7	IncF
1.1.2.4.7.578	1	1.0	1	IncHI1
1.1.2.4.7.575	1	1.0	1	IncHI1
1.1.2.4.7.574	1	6.0	6	IncF
1.1.2.4.7.573	1	3.0	3	IncI
1.1.2.4.7.551	1	9.0	9	IncFIC
1.1.2.4.7.491	1	11.0	11	IncC
1.1.2.4.7.465	1	2.0	2	IncFIB
1.1.2.4.7.490	1	11.0	11	IncC
1.1.2.4.7.49	1	1.0	1	IncX3
1.1.2.4.7.486	1	1.0	1	IncFIB
1.1.2.4.7.485	1	7.0	7	IncFII
1.1.2.4.7.47	1	6.0	6	IncFIB
1.1.2.4.7.466	1	1.0	1	IncFIB
1.1.2.4.7.318	1	5.0	5	IncFIB
1.1.2.4.7.313	1	14.0	14	IncFIC
1.1.2.4.7.2938	1	1.0	1	IncN
1.1.2.4.7.312	1	9.0	9	IncFIB
1.1.2.4.7.2962	1	1.0	1	IncFII
1.1.2.4.7.2961	1	5.0	5	IncX1
1.1.2.4.7.2958	1	1.0	1	IncFII
1.1.2.4.7.2957	1	6.0	6	IncN
1.1.2.4.7.2955	1	9.0	9	IncN
1.1.2.4.7.2952	1	9.0	9	IncX1
1.1.2.4.7.2951	1	7.0	7	IncFII
1.1.2.4.7.2950	1	4.0	4	IncX1
1.1.2.4.7.2949	1	2.0	2	IncFII
1.1.2.4.7.2947	1	8.0	8	IncN
1.1.2.4.7.2946	1	9.0	9	IncN
1.1.2.4.7.2944	1	7.0	7	IncN
1.1.2.4.7.2942	1	2.0	2	IncN
1.1.2.4.7.2941	1	3.0	3	IncFII
1.1.2.4.7.2940	1	5.0	5	IncX1
1.1.2.4.7.2964	1	15.0	15	IncN
1.1.2.4.7.2965	1	3.0	3	IncN
1.1.2.4.7.2970	1	1.0	1	IncX1
1.1.2.4.7.3057	1	3.0	3	IncN
1.1.2.4.7.3065	1	4.0	4	IncFII
1.1.2.4.7.3064	1	2.0	2	IncX1
1.1.2.4.7.3063	1	2.0	2	IncX1
1.1.2.4.7.3061	1	11.0	11	IncFII
1.1.2.4.7.3059	1	4.0	4	IncFII
1.1.2.4.7.3058	1	3.0	3	IncN
1.1.2.4.7.3015	1	4.0	4	IncFII
1.1.2.4.7.2972	1	3.0	3	IncFII
1.1.2.4.7.3008	1	1.0	1	IncFII
1.1.2.4.7.3002	1	5.0	5	IncN
1.1.2.4.7.2979	1	2.0	2	IncFII
1.1.2.4.7.2977	1	4.0	4	IncFII
1.1.2.4.7.2975	1	2.0	2	IncFII
1.1.2.4.7.2974	1	1.0	1	IncX1
1.1.2.4.7.604	1	10.0	10	IncF
1.1.2.4.7.605	1	13.0	13	IncF
1.1.2.4.7.623	1	5.0	5	IncI1
1.1.2.4.7.626	1	2.0	2	IncX3
1.1.2.4.7.938	1	1.0	1	IncX1
1.1.2.4.7.936	1	2.0	2	IncN
1.1.2.4.7.935	1	3.0	3	IncN
1.1.2.4.7.934	1	3.0	3	IncX1
1.1.2.4.7.933	1	2.0	2	IncFII
1.1.2.4.7.932	1	13.0	13	IncN
1.1.2.4.7.931	1	7.0	7	IncFII
1.1.2.4.7.928	1	5.0	5	IncN
1.1.2.4.7.922	1	7.0	7	IncN
1.1.2.4.7.921	1	9.0	9	IncN
1.1.2.4.7.920	1	2.0	2	IncN
1.1.2.4.7.915	1	7.0	7	IncFII
1.1.2.4.7.912	1	4.0	4	IncX1
1.1.2.4.7.910	1	7.0	7	IncN
1.1.2.4.7.907	1	8.0	8	IncN
1.1.2.4.7.946	1	1.0	1	IncX1
1.1.2.4.7.950	1	12.0	12	IncN
1.1.2.4.7.952	1	1.0	1	IncX1
1.1.2.4.7.982	1	4.0	4	IncN
1.1.2.4.99.341	1	1.0	1	ColE
1.1.2.4.7.992	1	4.0	4	IncN
1.1.2.4.7.991	1	10.0	10	IncN
1.1.2.4.7.988	1	10.0	10	IncN
1.1.2.4.7.985	1	6.0	6	IncN
1.1.2.4.7.983	1	8.0	8	IncX1
1.1.2.4.7.976	1	1.0	1	IncFII
1.1.2.4.7.955	1	3.0	3	IncFII
1.1.2.4.7.973	1	10.0	10	IncFII
1.1.2.4.7.970	1	7.0	7	IncN
1.1.2.4.7.969	1	7.0	7	IncN
1.1.2.4.7.960	1	1.0	1	IncFII
1.1.2.4.7.958	1	2.0	2	IncN
1.1.2.4.7.956	1	1.0	1	IncX1
1.1.2.4.7.906	1	8.0	8	IncN
1.1.2.4.7.905	1	8.0	8	IncN
1.1.2.4.7.904	1	1.0	1	IncFII
1.1.2.4.7.831	1	14.0	14	IncX3
1.1.2.4.7.848	1	1.0	1	IncI
1.1.2.4.7.844	1	7.0	7	IncHI2
1.1.2.4.7.839	1	8.0	8	IncX3
1.1.2.4.7.837	1	15.0	15	IncF
1.1.2.4.7.833	1	1.0	1	IncI1
1.1.2.4.7.832	1	3.0	3	IncFIB
1.1.2.4.7.828	1	17.0	17	IncFIB
1.1.2.4.7.853	1	10.0	10	IncR
1.1.2.4.7.810	1	3.0	3	IncX3
1.1.2.4.7.70	1	1.0	1	IncX4
1.1.2.4.7.648	1	7.0	7	IncF
1.1.2.4.7.646	1	9.0	9	IncHI2
1.1.2.4.7.641	1	5.0	5	IncHI1
1.1.2.4.7.628	1	5.0	5	IncX3
1.1.2.4.7.852	1	12.0	12	IncR
1.1.2.4.7.854	1	9.0	9	IncR
1.1.2.4.7.903	1	10.0	10	IncFII
1.1.2.4.7.870	1	8.0	8	IncR
1.1.2.4.7.902	1	6.0	6	IncFII
1.1.2.4.7.898	1	5.0	5	IncN
1.1.2.4.7.883	1	10.0	10	IncR
1.1.2.4.7.881	1	5.0	5	IncX3
1.1.2.4.7.880	1	16.0	16	IncC
1.1.2.4.7.878	1	2.0	2	ColE
1.1.2.4.7.869	1	8.0	8	IncR
1.1.2.4.7.857	1	8.0	8	IncI
1.1.2.4.7.866	1	8.0	8	IncF
1.1.2.4.7.865	1	4.0	4	IncI
1.1.2.4.7.864	1	8.0	8	IncF
1.1.2.4.7.863	1	4.0	4	IncF
1.1.2.4.7.861	1	3.0	3	IncX4
1.1.2.4.7.858	1	3.0	3	IncX4
1.1.2.4.7.2939	1	3.0	3	IncN
1.1.2.4.7.2937	1	7.0	7	IncN
1.1.2.4.7.2745	1	2.0	2	IncN
1.1.2.4.7.2789	1	16.0	16	IncFII
1.1.2.4.7.2816	1	4.0	4	IncFII
1.1.2.4.7.2815	1	4.0	4	IncN
1.1.2.4.7.2809	1	2.0	2	IncN
1.1.2.4.7.2805	1	4.0	4	IncN
1.1.2.4.7.2804	1	5.0	5	IncN
1.1.2.4.7.2803	1	3.0	3	IncFII
1.1.2.4.7.2802	1	8.0	8	IncN
1.1.2.4.7.2801	1	3.0	3	IncN
1.1.2.4.7.2800	1	14.0	14	IncX1
1.1.2.4.7.2797	1	6.0	6	IncFII
1.1.2.4.7.2796	1	6.0	6	IncFII
1.1.2.4.7.2794	1	1.0	1	IncN
1.1.2.4.7.2793	1	7.0	7	IncX1
1.1.2.4.7.2792	1	7.0	7	IncN
1.1.2.4.7.2791	1	1.0	1	IncFII
1.1.2.4.7.2817	1	2.0	2	IncFII
1.1.2.4.7.2818	1	12.0	12	IncN
1.1.2.4.7.2819	1	10.0	10	IncX1
1.1.2.4.7.2832	1	13.0	13	IncX1
1.1.2.4.7.2840	1	4.0	4	IncFII
1.1.2.4.7.2839	1	5.0	5	IncFII
1.1.2.4.7.2838	1	10.0	10	IncFII
1.1.2.4.7.2836	1	3.0	3	IncX1
1.1.2.4.7.2835	1	12.0	12	IncN
1.1.2.4.7.2834	1	6.0	6	IncFII
1.1.2.4.7.2831	1	19.0	19	IncX1
1.1.2.4.7.2821	1	12.0	12	IncX1
1.1.2.4.7.2830	1	1.0	1	IncFII
1.1.2.4.7.2829	1	5.0	5	IncFII
1.1.2.4.7.2827	1	1.0	1	IncFII
1.1.2.4.7.2826	1	18.0	18	IncFII
1.1.2.4.7.2823	1	9.0	9	IncX1
1.1.2.4.7.2822	1	4.0	4	IncX1
1.1.2.4.7.2790	1	7.0	7	IncN
1.1.2.4.7.2788	1	6.0	6	IncFII
1.1.2.4.7.2936	1	3.0	3	IncX1
1.1.2.4.7.2787	1	1.0	1	IncX1
1.1.2.4.7.2764	1	3.0	3	IncFII
1.1.2.4.7.2763	1	15.0	15	IncFII
1.1.2.4.7.2762	1	1.0	1	IncFII
1.1.2.4.7.2761	1	2.0	2	IncFII
1.1.2.4.7.2760	1	1.0	1	IncFII
1.1.2.4.7.2759	1	11.0	11	IncN
1.1.2.4.7.2758	1	6.0	6	IncN
1.1.2.4.7.2757	1	11.0	11	IncN
1.1.2.4.7.2756	1	3.0	3	IncFII
1.1.2.4.7.2754	1	3.0	3	IncN
1.1.2.4.7.2751	1	5.0	5	IncFII
1.1.2.4.7.2750	1	2.0	2	IncN
1.1.2.4.7.2749	1	4.0	4	IncX1
1.1.2.4.7.2748	1	4.0	4	IncX1
1.1.2.4.7.2747	1	7.0	7	IncN
1.1.2.4.7.2765	1	10.0	10	IncFII
1.1.2.4.7.2766	1	1.0	1	IncN
1.1.2.4.7.2767	1	2.0	2	IncN
1.1.2.4.7.2777	1	2.0	2	IncN
1.1.2.4.7.2786	1	7.0	7	IncN
1.1.2.4.7.2785	1	16.0	16	IncFII
1.1.2.4.7.2784	1	12.0	12	IncFII
1.1.2.4.7.2781	1	3.0	3	IncFII
1.1.2.4.7.2779	1	14.0	14	IncFII
1.1.2.4.7.2778	1	12.0	12	IncN
1.1.2.4.7.2776	1	7.0	7	IncX1
1.1.2.4.7.2768	1	4.0	4	IncX1
1.1.2.4.7.2775	1	4.0	4	IncX1
1.1.2.4.7.2774	1	1.0	1	IncX1
1.1.2.4.7.2773	1	1.0	1	IncFII
1.1.2.4.7.2772	1	5.0	5	IncN
1.1.2.4.7.2771	1	3.0	3	IncN
1.1.2.4.7.2769	1	3.0	3	IncN
1.1.2.4.7.2841	1	4.0	4	IncFII
1.1.2.4.7.2842	1	9.0	9	IncFII
1.1.2.4.7.2843	1	2.0	2	IncFII
1.1.2.4.7.2844	1	10.0	10	IncFII
1.1.2.4.7.2910	1	5.0	5	IncX1
1.1.2.4.7.2909	1	9.0	9	IncX1
1.1.2.4.7.2908	1	14.0	14	IncX1
1.1.2.4.7.2907	1	6.0	6	IncFII
1.1.2.4.7.2906	1	7.0	7	IncN
1.1.2.4.7.2905	1	9.0	9	IncN
1.1.2.4.7.2904	1	10.0	10	IncN
1.1.2.4.7.2903	1	5.0	5	IncFII
1.1.2.4.7.2902	1	3.0	3	IncFII
1.1.2.4.7.2901	1	12.0	12	IncFII
1.1.2.4.7.2900	1	12.0	12	IncFII
1.1.2.4.7.29	1	2.0	2	IncX3
1.1.2.4.7.2899	1	17.0	17	IncFII
1.1.2.4.7.2898	1	1.0	1	IncFII
1.1.2.4.7.2897	1	22.0	22	IncFII
1.1.2.4.7.2911	1	18.0	18	IncX1
1.1.2.4.7.2914	1	11.0	11	IncX1
1.1.2.4.7.2915	1	11.0	11	IncFII
1.1.2.4.7.2926	1	4.0	4	IncFII
1.1.2.4.7.2933	1	2.0	2	IncX1
1.1.2.4.7.2932	1	10.0	10	IncN
1.1.2.4.7.2931	1	5.0	5	IncX1
1.1.2.4.7.2930	1	5.0	5	IncFII
1.1.2.4.7.2929	1	3.0	3	IncFII
1.1.2.4.7.2928	1	3.0	3	IncN
1.1.2.4.7.2925	1	3.0	3	IncFII
1.1.2.4.7.2916	1	1.0	1	IncX1
1.1.2.4.7.2924	1	8.0	8	IncN
1.1.2.4.7.2922	1	9.0	9	IncN
1.1.2.4.7.2920	1	5.0	5	IncN
1.1.2.4.7.2919	1	7.0	7	IncN
1.1.2.4.7.2918	1	2.0	2	IncX1
1.1.2.4.7.2917	1	2.0	2	IncX1
1.1.2.4.7.2893	1	2.0	2	IncN
1.1.2.4.7.2887	1	10.0	10	IncFII
1.1.2.4.7.2886	1	6.0	6	IncN
1.1.2.4.7.2857	1	1.0	1	IncFII
1.1.2.4.7.2865	1	5.0	5	IncFII
1.1.2.4.7.2864	1	4.0	4	IncN
1.1.2.4.7.2863	1	3.0	3	IncX1
1.1.2.4.7.2862	1	6.0	6	IncX1
1.1.2.4.7.286	1	10.0	10	IncA
1.1.2.4.7.2858	1	1.0	1	IncFII
1.1.2.4.7.2297	1	1.0	1	IncN
1.1.2.4.7.2867	1	1.0	1	IncX1
1.1.2.4.7.2850	1	2.0	2	IncFII
1.1.2.4.7.2849	1	4.0	4	IncX1
1.1.2.4.7.2848	1	6.0	6	IncX1
1.1.2.4.7.2847	1	3.0	3	IncX1
1.1.2.4.7.2846	1	5.0	5	IncX1
1.1.2.4.7.2845	1	4.0	4	IncFII
1.1.2.4.7.2866	1	2.0	2	IncX1
1.1.2.4.7.2868	1	1.0	1	IncX1
1.1.2.4.7.2885	1	6.0	6	IncN
1.1.2.4.7.2877	1	15.0	15	IncX1
1.1.2.4.7.2884	1	1.0	1	IncFII
1.1.2.4.7.2882	1	1.0	1	IncFII
1.1.2.4.7.2881	1	2.0	2	IncN
1.1.2.4.7.2880	1	9.0	9	IncFII
1.1.2.4.7.2879	1	10.0	10	IncFII
1.1.2.4.7.2878	1	14.0	14	IncFII
1.1.2.4.7.2876	1	15.0	15	IncX1
1.1.2.4.7.2869	1	1.0	1	IncX1
1.1.2.4.7.2875	1	4.0	4	IncX1
1.1.2.4.7.2874	1	6.0	6	IncN
1.1.2.4.7.2873	1	2.0	2	IncFII
1.1.2.4.7.2872	1	4.0	4	IncN
1.1.2.4.7.2870	1	5.0	5	IncFII
1.1.2.4.7.287	1	7.0	7	IncFIB
1.1.2.4.7.2853	1	1.0	1	IncFII
1.1.2.4.7.2121	1	11.0	11	IncFII
1.1.2.4.7.2295	1	3.0	3	IncFII
1.1.2.4.7.1452	1	2.0	2	IncFII
1.1.2.4.7.1449	1	1.0	1	IncN
1.1.2.4.7.1442	1	7.0	7	IncN
1.1.2.4.7.1440	1	12.0	12	IncFII
1.1.2.4.7.1439	1	1.0	1	IncX1
1.1.2.4.7.1437	1	5.0	5	IncFII
1.1.2.4.7.1436	1	3.0	3	IncN
1.1.2.4.7.1434	1	6.0	6	IncN
1.1.2.4.7.1427	1	2.0	2	IncFII
1.1.2.4.7.1421	1	3.0	3	IncFII
1.1.2.4.7.1419	1	1.0	1	IncFII
1.1.2.4.7.1417	1	8.0	8	IncN
1.1.2.4.7.1416	1	1.0	1	IncFII
1.1.2.4.7.1414	1	18.0	18	IncFII
1.1.2.4.7.1413	1	1.0	1	IncN
1.1.2.4.7.1412	1	4.0	4	IncN
1.1.2.4.7.1451	1	9.0	9	IncFII
1.1.2.4.7.1453	1	5.0	5	IncN
1.1.2.4.7.1407	1	8.0	8	IncFII
1.1.2.4.7.1456	1	6.0	6	IncFII
1.1.2.4.7.1489	1	6.0	6	IncFII
1.1.2.4.7.1477	1	6.0	6	IncX1
1.1.2.4.7.1476	1	9.0	9	IncX1
1.1.2.4.7.1475	1	3.0	3	IncX1
1.1.2.4.7.1474	1	1.0	1	IncN
1.1.2.4.7.1472	1	8.0	8	IncX1
1.1.2.4.7.1471	1	5.0	5	IncFII
1.1.2.4.7.1467	1	12.0	12	IncX1
1.1.2.4.7.1466	1	7.0	7	IncFII
1.1.2.4.7.1463	1	7.0	7	IncFII
1.1.2.4.7.1462	1	1.0	1	IncFII
1.1.2.4.7.1461	1	11.0	11	IncN
1.1.2.4.7.1459	1	3.0	3	IncFII
1.1.2.4.7.1458	1	1.0	1	IncFII
1.1.2.4.7.1457	1	2.0	2	IncFII
1.1.2.4.7.1409	1	5.0	5	IncFII
1.1.2.4.7.1406	1	2.0	2	IncN
1.1.2.4.7.1493	1	1.0	1	IncFII
1.1.2.4.7.1364	1	11.0	11	IncN
1.1.2.4.7.1361	1	3.0	3	IncFII
1.1.2.4.7.1360	1	3.0	3	IncFII
1.1.2.4.7.1356	1	9.0	9	IncFII
1.1.2.4.7.1355	1	9.0	9	IncN
1.1.2.4.7.1353	1	8.0	8	IncN
1.1.2.4.7.1349	1	9.0	9	IncFII
1.1.2.4.7.1348	1	9.0	9	IncFII
1.1.2.4.7.1343	1	3.0	3	IncX1
1.1.2.4.7.1340	1	2.0	2	IncX1
1.1.2.4.7.1331	1	13.0	13	IncN
1.1.2.4.7.1329	1	14.0	14	IncX1
1.1.2.4.7.1324	1	5.0	5	IncFII
1.1.2.4.7.1323	1	9.0	9	IncFII
1.1.2.4.7.1322	1	4.0	4	IncN
1.1.2.4.7.1318	1	3.0	3	IncN
1.1.2.4.7.1363	1	3.0	3	IncFII
1.1.2.4.7.1368	1	1.0	1	IncN
1.1.2.4.7.1405	1	15.0	15	IncFII
1.1.2.4.7.137	1	14.0	14	IncA
1.1.2.4.7.1403	1	5.0	5	IncFII
1.1.2.4.7.1397	1	9.0	9	IncFII
1.1.2.4.7.1395	1	5.0	5	IncFII
1.1.2.4.7.1394	1	7.0	7	IncFII
1.1.2.4.7.1392	1	1.0	1	IncFII
1.1.2.4.7.1390	1	7.0	7	IncX1
1.1.2.4.7.1387	1	6.0	6	IncFII
1.1.2.4.7.1385	1	3.0	3	IncFII
1.1.2.4.7.1384	1	3.0	3	IncX1
1.1.2.4.7.1381	1	4.0	4	IncN
1.1.2.4.7.1380	1	5.0	5	IncX1
1.1.2.4.7.138	1	1.0	1	IncF
1.1.2.4.7.1379	1	6.0	6	IncN
1.1.2.4.7.1377	1	1.0	1	IncFII
1.1.2.4.7.1372	1	8.0	8	IncN
1.1.2.4.7.149	1	15.0	15	IncR
1.1.2.4.7.1494	1	4.0	4	IncFII
1.1.2.4.7.2292	1	5.0	5	IncN
1.1.2.4.7.1631	1	2.0	2	IncFII
1.1.2.4.7.1628	1	1.0	1	IncN
1.1.2.4.7.1627	1	4.0	4	IncX1
1.1.2.4.7.1618	1	8.0	8	IncN
1.1.2.4.7.1617	1	2.0	2	IncX1
1.1.2.4.7.1616	1	9.0	9	IncFII
1.1.2.4.7.1615	1	5.0	5	IncX1
1.1.2.4.7.1613	1	5.0	5	IncX1
1.1.2.4.7.1612	1	11.0	11	IncN
1.1.2.4.7.1611	1	5.0	5	IncN
1.1.2.4.7.1609	1	14.0	14	IncFII
1.1.2.4.7.1608	1	2.0	2	IncX1
1.1.2.4.7.1606	1	4.0	4	IncX1
1.1.2.4.7.1605	1	4.0	4	IncFII
1.1.2.4.7.1601	1	11.0	11	IncN
1.1.2.4.7.1593	1	1.0	1	IncFII
1.1.2.4.7.1630	1	6.0	6	IncX1
1.1.2.4.7.1633	1	5.0	5	IncX1
1.1.2.4.7.1588	1	6.0	6	IncFII
1.1.2.4.7.1635	1	8.0	8	IncX1
1.1.2.4.7.1657	1	15.0	15	IncX1
1.1.2.4.7.1655	1	2.0	2	IncFII
1.1.2.4.7.1654	1	10.0	10	IncFII
1.1.2.4.7.1652	1	1.0	1	IncX1
1.1.2.4.7.1651	1	3.0	3	IncX1
1.1.2.4.7.1650	1	2.0	2	IncFII
1.1.2.4.7.1648	1	4.0	4	IncX1
1.1.2.4.7.1647	1	11.0	11	IncFII
1.1.2.4.7.1646	1	4.0	4	IncX1
1.1.2.4.7.1645	1	11.0	11	IncX1
1.1.2.4.7.1642	1	13.0	13	IncFII
1.1.2.4.7.1640	1	3.0	3	IncFII
1.1.2.4.7.1638	1	7.0	7	IncFII
1.1.2.4.7.1637	1	4.0	4	IncX1
1.1.2.4.7.1636	1	8.0	8	IncX1
1.1.2.4.7.1590	1	7.0	7	IncFII
1.1.2.4.7.1586	1	12.0	12	IncFII
1.1.2.4.7.1495	1	11.0	11	IncX1
1.1.2.4.7.1539	1	3.0	3	IncFII
1.1.2.4.7.1537	1	6.0	6	IncFII
1.1.2.4.7.1536	1	1.0	1	IncFII
1.1.2.4.7.1531	1	2.0	2	IncFII
1.1.2.4.7.1528	1	3.0	3	IncFII
1.1.2.4.7.1524	1	9.0	9	IncFII
1.1.2.4.7.1520	1	5.0	5	IncFII
1.1.2.4.7.1514	1	18.0	18	IncFII
1.1.2.4.7.1512	1	1.0	1	IncFII
1.1.2.4.7.1507	1	1.0	1	IncFII
1.1.2.4.7.1506	1	4.0	4	IncFII
1.1.2.4.7.1504	1	7.0	7	IncN
1.1.2.4.7.1500	1	3.0	3	IncX1
1.1.2.4.7.15	1	4.0	4	IncN
1.1.2.4.7.1498	1	2.0	2	IncFII
1.1.2.4.7.1496	1	2.0	2	IncX1
1.1.2.4.7.1538	1	5.0	5	IncX1
1.1.2.4.7.1543	1	2.0	2	IncFII
1.1.2.4.7.1585	1	19.0	19	IncX1
1.1.2.4.7.1545	1	6.0	6	IncN
1.1.2.4.7.1584	1	3.0	3	IncX1
1.1.2.4.7.1580	1	12.0	12	IncFII
1.1.2.4.7.1579	1	6.0	6	IncN
1.1.2.4.7.1577	1	9.0	9	IncFII
1.1.2.4.7.1575	1	6.0	6	IncFII
1.1.2.4.7.1574	1	1.0	1	IncFII
1.1.2.4.7.1572	1	5.0	5	IncN
1.1.2.4.7.1565	1	4.0	4	IncX1
1.1.2.4.7.1562	1	3.0	3	IncFII
1.1.2.4.7.1561	1	6.0	6	IncN
1.1.2.4.7.1559	1	8.0	8	IncX1
1.1.2.4.7.1558	1	8.0	8	IncX1
1.1.2.4.7.1550	1	2.0	2	IncX1
1.1.2.4.7.1549	1	2.0	2	IncFII
1.1.2.4.7.1546	1	2.0	2	IncN
1.1.2.4.7.1315	1	1.0	1	IncN
1.1.2.4.7.1312	1	7.0	7	IncFII
1.1.2.4.7.1309	1	5.0	5	IncX1
1.1.2.4.7.1067	1	7.0	7	IncFII
1.1.2.4.7.1065	1	3.0	3	IncFII
1.1.2.4.7.1064	1	2.0	2	IncX1
1.1.2.4.7.1062	1	12.0	12	IncX1
1.1.2.4.7.1061	1	6.0	6	IncFII
1.1.2.4.7.1058	1	3.0	3	IncFII
1.1.2.4.7.1052	1	10.0	10	IncFII
1.1.2.4.7.1050	1	1.0	1	IncN
1.1.2.4.7.1048	1	10.0	10	IncFII
1.1.2.4.7.1046	1	8.0	8	IncN
1.1.2.4.7.1045	1	6.0	6	IncFII
1.1.2.4.7.1044	1	7.0	7	IncN
1.1.2.4.7.1043	1	6.0	6	IncN
1.1.2.4.7.1042	1	4.0	4	IncFII
1.1.2.4.7.1041	1	6.0	6	IncN
1.1.2.4.7.1040	1	6.0	6	IncN
1.1.2.4.7.1066	1	8.0	8	IncFII
1.1.2.4.7.1068	1	10.0	10	IncN
1.1.2.4.7.1037	1	6.0	6	IncFII
1.1.2.4.7.1069	1	4.0	4	IncN
1.1.2.4.7.1113	1	5.0	5	IncFII
1.1.2.4.7.1108	1	4.0	4	IncN
1.1.2.4.7.1106	1	1.0	1	IncX1
1.1.2.4.7.1102	1	11.0	11	IncN
1.1.2.4.7.11	1	2.0	2	IncN
1.1.2.4.7.1096	1	2.0	2	IncFII
1.1.2.4.7.1095	1	3.0	3	IncFII
1.1.2.4.7.1094	1	9.0	9	IncX1
1.1.2.4.7.1090	1	7.0	7	IncFII
1.1.2.4.7.1087	1	1.0	1	IncX1
1.1.2.4.7.1086	1	1.0	1	IncX1
1.1.2.4.7.1084	1	6.0	6	IncN
1.1.2.4.7.1083	1	5.0	5	IncFII
1.1.2.4.7.1078	1	6.0	6	IncX1
1.1.2.4.7.1076	1	2.0	2	IncFII
1.1.2.4.7.1039	1	5.0	5	IncN
1.1.2.4.7.1036	1	1.0	1	IncFII
1.1.2.4.7.1307	1	7.0	7	IncN
1.1.2.4.6.2079	1	6.0	6	IncN
1.1.2.4.43.226	1	1.0	1	ColRNAI
1.1.2.4.34.417	1	1.0	1	IncFIB
1.1.2.4.34.108	1	3.0	3	IncFIB
1.1.2.4.285.3016	1	2.0	2	IncFII
1.1.2.4.279.2998	1	1.0	1	IncX1
1.1.2.4.257.2592	1	9.0	9	IncFII
1.1.2.4.241.3037	1	4.0	4	IncFII
1.1.2.4.241.2449	1	3.0	3	IncFII
1.1.2.4.238.2244	1	1.0	1	IncX1
1.1.2.4.221.1092	1	1.0	1	IncX1
1.1.2.4.220.2516	1	1.0	1	IncX1
1.1.2.4.220.1089	1	1.0	1	IncX1
1.1.2.4.12.121	1	1.0	1	ColRNAI
1.1.2.4.117.400	1	1.0	1	ColRNAI
1.1.2.34.61.322	1	2.0	2	ColRNAI
1.1.2.4.43.324	1	1.0	1	ColRNAI
1.1.2.4.7.1002	1	2.0	2	IncFII
1.1.2.4.7.1032	1	4.0	4	IncFII
1.1.2.4.7.1003	1	6.0	6	IncN
1.1.2.4.7.1030	1	5.0	5	IncN
1.1.2.4.7.1029	1	15.0	15	IncFII
1.1.2.4.7.1019	1	2.0	2	IncFII
1.1.2.4.7.1017	1	2.0	2	IncFII
1.1.2.4.7.1016	1	1.0	1	IncFII
1.1.2.4.7.1015	1	16.0	16	IncFII
1.1.2.4.7.1014	1	32.0	32	IncFII
1.1.2.4.7.1013	1	6.0	6	IncFII
1.1.2.4.7.1011	1	6.0	6	IncN
1.1.2.4.7.1010	1	6.0	6	IncN
1.1.2.4.7.1009	1	10.0	10	IncN
1.1.2.4.7.1008	1	2.0	2	IncN
1.1.2.4.7.1006	1	5.0	5	IncFII
1.1.2.4.7.1005	1	7.0	7	IncN
1.1.2.4.7.1004	1	5.0	5	IncN
1.1.2.4.7.1116	1	11.0	11	IncFII
1.1.2.4.7.1118	1	3.0	3	IncFII
1.1.2.4.7.1120	1	10.0	10	IncFII
1.1.2.4.7.1264	1	6.0	6	IncX1
1.1.2.4.7.1261	1	2.0	2	IncFII
1.1.2.4.7.1255	1	9.0	9	IncFII
